,code,dealerId,name,url,regionId,state,lat,long,
1007,1007,1007,Bill Penney Toyota,https://www.billpenneytoyota.com,50,AL,34.737385,-86.65119,0
1013,1013,1013,Reinhardt Motors,https://www.reinhardttoyota.com,50,AL,32.366981,-86.210045,0
1019,1019,1019,Scott Crump Toyota,https://www.scottcrumptoyota.com,50,AL,33.839028,-87.233016,0
1033,1033,1033,McKinnon Toyota,https://www.mckinnontoyota.com,50,AL,32.886596,-86.621391,0
1053,1053,1053,Toyota of Dothan,https://www.toyotaofdothan.com,50,AL,31.192701,-85.408607,0
1059,1059,1059,Serra Toyota,https://www.serratoyota.com,50,AL,33.620794,-86.685932,0
1061,1061,1061,Limbaugh Toyota,https://www.limbaughtoyota.com,50,AL,33.507035,-86.881857,0
1064,1064,1064,Sunny King Toyota,https://www.sunnykingtoyota.com,50,AL,33.613976,-85.776722,0
1071,1071,1071,Serra Toyota of Decatur,https://www.toyotaofdecatur.com,50,AL,34.55964,-86.988212,0
1073,1073,1073,Palmer's Airport Toyota,https://www.palmerstoyota.com,50,AL,30.679936,-88.22569,0
1077,1077,1077,Springhill Toyota,https://www.springhilltoyota.com,50,AL,30.655752,-88.117307,0
,1078,1078,Hoover Toyota,https://www.hoovertoyota.com,50,AL,33.359145,-86.832572,-1078
1079,,,,,,,,,1079
1080,1080,1080,Bondy's Enterprise Toyota,https://www.bondystoyota.com,50,AL,31.310865,-85.830622,0
1082,1082,1082,Lynch Toyota of Auburn,https://www.lynchtoyotaofauburn.com,50,AL,32.560407,-85.498678,0
1083,,,,,,,,,1083
1084,1084,1084,Eastern Shore Toyota,https://www.easternshoretoyota.com,50,AL,30.660655,-87.855273,0
1085,1085,1085,Tuscaloosa Toyota,https://www.tuscaloosatoyota.com,50,AL,33.169602,-87.494118,0
1086,1086,1086,TeamOne Toyota of Gadsden,https://www.teamonetoyota.com,50,AL,33.976433,-86.060348,0
1087,,,,,,,,,1087
1089,,,,,,,,,1089
1090,,,,,,,,,1090
1091,,,,,,,,,1091
2010,2010,2010,Precision Toyota of Tucson,https://www.pretoy.com,15,AZ,32.28701,-110.983221,0
2016,2016,2016,Big Two Toyota of Chandler,https://www.bigtwotoyota.com,15,AZ,33.28793,-111.790768,0
2021,2021,2021,Desert Toyota of Tucson,https://www.deserttoyota.com,15,AZ,32.205909,-110.839698,0
,2031,2031,Larry H. Miller Toyota Peoria,https://www.larrymillertoyota.com,15,AZ,33.637549,-112.244232,-2031
2036,2036,2036,Camelback Toyota,https://www.camelbacktoyota.com,15,AZ,33.510892,-112.047885,0
2037,,,,,,,,,2037
2038,2038,2038,Hatch Toyota,https://www.hatchtoyota.com,15,AZ,34.258903,-110.013916,0
2042,2042,2042,AutoNation Toyota Tempe,https://www.autonationtoyotatempe.com,15,AZ,33.34441,-111.97019,0
2044,2044,2044,Right Toyota,https://www.righttoyota.com,15,AZ,33.63494,-111.91403,0
2048,2048,2048,Anderson Toyota,https://www.andersontoyotaaz.com,15,AZ,34.573952,-114.367242,0
2050,2050,2050,Avondale Toyota,https://www.avondaletoyota.com,15,AZ,33.459983,-112.276095,0
2051,2051,2051,Earnhardt Toyota/Scion,https://www.earnhardttoyota.com,15,AZ,33.38821,-111.69959,0
2052,2052,2052,Findlay Toyota Flagstaff,https://www.findlaytoyotaflagstaff.net,15,AZ,35.224093,-111.571421,0
2053,2053,2053,Brent Berge's Riverview Toyota,https://www.riverviewtoyota.com,15,AZ,33.436079,-111.870303,0
,2054,2054,Toyota of Surprise,https://www.toyotaofsurprise.com,15,AZ,33.6074,-112.421031,-2054
2055,2055,2055,Findlay Toyota Prescott,https://www.findlaytoyotaprescott.com,15,AZ,34.605331,-112.455034,0
2056,2056,2056,Sierra Toyota,https://www.sierratoyota-az.com,15,AZ,31.554366,-110.273512,0
2057,2057,2057,Bell Road Toyota,https://bellroadtoyota.com,15,AZ,33.64062,-112.103545,0
2058,,,,,,,,,2058
3024,3024,3024,Magness Toyota,https://www.magnesstoyota.com,60,AR,36.264529,-93.135271,0
3049,3049,3049,Ryburn Toyota,https://www.ryburntoyota.com,60,AR,33.626689,-91.803016,0
3050,3050,3050,J. Pauley Toyota,https://www.jpauleytoyota.com,60,AR,35.323328,-94.396463,0
,3052,3052,"Teague Chevrolet Toyota, Inc.",https://www.teaguetoyota.com,60,AR,33.208117,-92.686146,-3052
3053,3053,3053,"Phil Wright Toyota, Co.",https://www.philwrighttoyota.com,60,AR,35.276732,-93.09056,0
3058,3058,3058,Trotter Toyota,https://www.trottertoyota.com,60,AR,34.205521,-91.970012,0
3065,3065,3065,Gregg Orr Toyota,https://www.orrtoyota.com,60,AR,34.445749,-93.089124,0
3066,3066,3066,Toyota of Fayetteville,https://www.toyotaoffayetteville.com,60,AR,36.108448,-94.17794,0
3067,3067,3067,Central Toyota,https://www.centraltoyota.com,60,AR,35.801135,-90.67033,0
3068,3068,3068,Caldwell Toyota,https://www.caldwell-toyota.com,60,AR,35.058817,-92.418366,0
3069,3069,3069,Orr Toyota,https://www.orrtoyotaofsearcy.com,60,AR,35.232014,-91.707216,0
3072,3072,3072,Steve Landers Toyota,https://www.stevelanderstoyota.com,60,AR,34.71116,-92.399489,0
3073,3073,3073,Steve Landers Toyota NWA,https://www.stevelanderstoyotanwa.com,60,AR,36.331586,-94.18568,0
3074,3074,3074,Mark McLarty Toyota,https://www.markmclartytoyota.com,60,AR,34.796997,-92.217703,0
3075,3075,3075,Red River Toyota,https://www.redrivertoyota.com,60,AR,35.24569,-90.782425,0
3076,,,,,,,,,3076
4007,4007,4007,Toyota of Berkeley,https://www.toyotaofberkeley.com,12,CA,37.865604,-122.268199,0
4013,4013,4013,Hamer Toyota,https://www.hamertoyota.com,11,CA,34.271476,-118.4677,0
4017,4017,4017,Jimmy Vasser Toyota,https://www.jimmyvassertoyota.com,12,CA,38.290405,-122.276327,0
,4022,4022,Hanlees Hilltop Toyota,https://www.hanleesrichmondtoyota.com,12,CA,37.98458,-122.32322,-4022
4033,4033,4033,Cabe Toyota Long Beach,https://www.cabetoyota.com,11,CA,33.809038,-118.189678,0
4039,4039,4039,Modesto Toyota,https://www.modestotoyota.com,12,CA,37.70514,-120.99519,0
4041,4041,4041,Frank Toyota,https://www.franktoyota.com,11,CA,32.661328,-117.101458,0
4044,,,,,,,,,4044
4046,,,,,,,,,4046
4051,4051,4051,Toyota Walnut Creek,https://www.toyotawc.com,12,CA,37.9089,-122.0618,0
4053,4053,4053,Toyota of Clovis,https://www.toyotaofclovis.com,12,CA,36.80928,-119.72947,0
,4056,4056,Salinas Toyota,https://www.salinastoyota.com,12,CA,36.717533,-121.662462,-4056
4057,,,,,,,,,4057
,4059,4059,Northridge Toyota,https://www.northridgetoyota.com,11,CA,34.235252,-118.560235,-4059
4061,4061,4061,Toyota of San Bernardino,https://www.toyotasb.com,11,CA,34.073592,-117.299363,0
4067,,,,,,,,,4067
4070,4070,4070,Freeman Toyota,https://www.freeman-toyota.com,12,CA,38.407751,-122.716789,0
4072,4072,4072,Hansel Toyota,https://www.hanseltoyota.com,12,CA,38.26495,-122.662567,0
4076,4076,4076,Toyota of The Desert,https://www.toyotaofthedesert.com,11,CA,33.78456,-116.473677,0
4077,4077,4077,Folsom Lake Toyota,https://www.folsomlaketoyota.com,12,CA,38.636483,-121.200618,0
4079,4079,4079,Miller Toyota of Anaheim,https://www.millertoyotaofanaheim.com,11,CA,33.852505,-117.941912,0
4080,4080,4080,Penske Toyota of Downey,https://www.pensketoyotadowney.com,11,CA,33.933314,-118.119847,0
4087,4087,4087,Toyota of Huntington Beach,https://www.toyotaofhb.com,11,CA,33.687844,-117.988985,0
4088,4088,4088,San Francisco Toyota,https://www.sftoyota.com,12,CA,37.781383,-122.4602533,0
4094,4094,4094,Bob Smith Toyota,https://www.bobsmithtoyota.com,11,CA,34.231604,-118.251556,0
4095,4095,4095,Toyota of Poway,https://www.toyotaofpoway.com,11,CA,32.955905,-117.035818,0
,4096,4096,Toyota of Whittier,https://www.toyotaofwhittier.com,11,CA,33.952436,-118.013411,-4096
,4097,4097,Larry H. Miller Toyota Lemon Grove,https://www.lhmtoyotalemongrove.com,11,CA,32.739737,-117.052313,-4097
,4098,4098,Michael Toyota,https://www.michaeltoyota.com,12,CA,36.82311,-119.79148,-4098
4101,,,,,,,,,4101
4102,4102,4102,Toyota of Hollywood,https://www.hollywoodtoyota.com,11,CA,34.101528,-118.321183,0
4104,4104,4104,Toyota Sunnyvale,https://www.toyotasunnyvale.com,12,CA,37.370667,-122.044083,0
4108,4108,4108,Elmore Toyota,https://www.elmoretoyota.com,11,CA,33.740382,-117.98926,0
4109,4109,4109,Toyota of Glendora,https://www.toyotaofglendora.com,11,CA,34.117854,-117.826725,0
4115,,,,,,,,,4115
4118,,,,,,,,,4118
4119,4119,4119,Victory Toyota of San Bruno,https://www.victorytoyotaofsanbruno.com,12,CA,37.627729,-122.415628,0
4122,4122,4122,Novato Toyota,https://www.novatotoyota.com,12,CA,38.092567,-122.55655,0
4135,4135,4135,I-10 Toyota,https://www.i-10toyota.com,11,CA,33.757,-116.288214,0
4136,4136,4136,Longo Toyota,https://www.longotoyota.com,11,CA,34.069226,-118.023705,0
4137,4137,4137,South Coast Toyota,https://www.southcoasttoyota.com,11,CA,33.645263,-117.918475,0
4140,4140,4140,Madera Toyota,https://www.maderatoyota.com,12,CA,36.97806,-120.07478,0
4142,,,,,,,,,4142
4143,4143,4143,City Toyota,https://www.citytoyota.com,12,CA,37.686383,-122.469427,0
,4150,4150,Toyota of Santa Barbara,https://www.toyotaofsantabarbara.com,11,CA,34.435356,-119.821038,-4150
4151,4151,4151,Jim Bagan Toyota,https://www.jimbagantoyota.com,12,CA,38.91084,-120.010058,0
4154,4154,4154,Toyota of North Hollywood,https://www.northhollywoodtoyota.com,11,CA,34.153856,-118.367637,0
4158,4158,4158,Oroville Toyota,https://www.orovilletoyota.com,12,CA,39.501892,-121.559372,0
4159,4159,4159,South Bay Toyota,https://www.southbaytoyota.com,11,CA,33.863338,-118.308931,0
4160,,,,,,,,,4160
4163,4163,4163,Lithia Toyota of Redding,https://www.lithiatoyotaredding.com,12,CA,40.57144,-122.367098,0
4167,4167,4167,Thousand Oaks Toyota,https://www.totoyota.com,11,CA,34.1742,-118.843368,0
4169,4169,4169,Tracy Toyota,https://www.tracytoyota.com,12,CA,37.758071,-121.463299,0
4176,4176,4176,Concord Toyota,https://www.concordtoyota.com,12,CA,37.97845,-122.058917,0
4179,,,,,,,,,4179
,4180,4180,Toyota Certified Center Santee,https://www.toyotacertifiedcenterofsantee.com,11,CA,32.8378,-116.9997,-4180
4181,4181,4181,Toyota of Selma,https://www.toyotaofselma.com,12,CA,36.581667,-119.636667,0
4185,4185,4185,Thompson's Toyota of Placerville,https://www.thompsonstoyota.com,12,CA,38.722583,-120.827582,0
4197,,,,,,,,,4197
4201,4201,4201,Elk Grove Toyota,https://www.elkgrovetoyota.com,12,CA,38.406883,-121.389,0
4211,4211,4211,Envision Toyota of West Covina,https://www.toyotaofwestcovina.com,11,CA,34.070892,-117.906441,0
4213,4213,4213,Putnam Toyota,https://www.putnamtoyota.com,12,CA,37.577633,-122.3404,0
4215,4215,4215,Visalia Toyota,https://www.visaliatoyota.com,12,CA,36.321994,-119.276239,0
4218,4218,4218,Gosch Toyota,https://www.goschtoyota.com,11,CA,33.741601,-117.030352,0
4221,4221,4221,Santa Cruz Toyota,https://www.santacruztoyota.com,12,CA,36.982117,-121.96215,0
4222,4222,4222,Toyota Carlsbad,https://www.toyotacarlsbad.com,11,CA,33.132685,-117.326399,0
